打率.243,試合67,打席261,打数247,得点20,安打60,内安7,内安率11.7,２Ｂ14,３Ｂ2,本塁0,HR勝敗0,塁打78,打点13,三振21
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
8,1,1,3,2,1,0,100.0,3,0,6,.176,.267,.316,.583
