アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,6,31.6%,安打,6,46.2%
フライ,10,52.6%,四死球,6,46.2%
空三振,3,15.8%,失策出塁,0,0.0%
見三振,0,0.0%,野選,1,7.7%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
