NOI0.0,GPA.000,RC-0.63,RC27-2.84,XR-0.57,XR27-2.57,RCAA-1.22,XR+-1.17,RCWIN-0.14,XRWIN-0.14,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.000,0.000,-,66.7%,
