アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,83,24.1%,安打,100,66.2%
フライ,136,39.4%,四死球,49,32.5%
空三振,110,31.9%,失策出塁,2,1.3%
見三振,16,4.6%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
