NOI434.3,GPA.236,RC54.17,RC274.13,XR57.00,XR274.35,RCAA5.34,XR+7.60,RCWIN0.62,XRWIN0.88,BABIP.258
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.36,0.075,11.02,3.94,0.176,19.26,0.278,0.649,0.00,39.1%,
