球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,717,35.9%,147.1,74,103,154,259,46.2%,20.8%,.256,164,42,10,37,15,2
スライダー,374,18.7%,130.8,69,48,56,149,46.3%,39.0%,.137,73,10,1,23,9,2
カットボール,206,10.3%,138.7,45,20,35,67,48.5%,37.8%,.235,51,12,3,13,6,0
フォーク,174,8.7%,136.1,42,14,23,68,45.4%,45.7%,.255,47,12,2,21,2,0
ツーシーム,120,6.0%,143.5,12,14,25,47,42.5%,20.3%,.208,24,5,1,2,3,0
カーブ,116,5.8%,116.7,19,9,14,61,36.2%,41.3%,.211,19,4,1,6,2,0
チェンジアップ,94,4.7%,125.3,16,9,13,36,40.4%,32.7%,.296,27,8,3,7,2,0
スプリット,87,4.4%,140.6,25,6,20,23,58.6%,43.1%,.120,25,3,1,12,0,0
縦スライダー,30,1.5%,133.1,9,2,4,12,50.0%,56.3%,.000,4,0,0,1,1,0
ナックルカーブ,30,1.5%,126.2,5,4,8,13,56.7%,38.5%,.000,2,0,0,2,1,0
シュート,21,1.1%,143.6,1,1,5,10,33.3%,10.0%,.750,4,3,0,0,0,0
パワーカーブ,12,0.6%,123.5,2,0,2,7,33.3%,40.0%,.500,2,1,1,1,1,0
シンカー,9,0.5%,135.6,2,1,1,5,44.4%,66.7%,.000,1,0,0,1,0,0
スローカーブ,2,0.1%,88.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
高速スライダー,2,0.1%,142.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スクリュー,1,0.1%,129.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
