球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,56,57.1%,148.3,6,3,11,21,35.7%,18.8%,.467,15,7,0,2,1,0
スライダー,18,18.4%,131.6,1,2,4,7,38.9%,11.1%,.600,5,3,0,1,0,0
スプリット,10,10.2%,136.8,3,0,2,3,50.0%,42.9%,.333,3,1,0,1,0,0
チェンジアップ,8,8.2%,134.5,1,2,0,4,37.5%,50.0%,1.000,1,1,0,0,0,0
カーブ,6,6.1%,116.3,1,2,3,0,100.0%,25.0%,-,0,0,0,0,0,0
