HQS率0.0%,SQS率0.0%,被打率.271,被BABIP.279,被出塁率.361,被長打率.459,K/BB1.18,K/95.24,BB/94.43,HR/91.61,GO/AO1.33,援護率2.65,IPR0.88,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.55,74.8%,-4.89,-0.58,-5.62,67,5.0,17,5,7.0,8,0,2,
