NOI348.7,GPA.189,RC5.60,RC271.91,XR6.28,XR272.15,RCAA-3.81,XR+-3.18,RCWIN-0.45,XRWIN-0.37,BABIP.226
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.22,0.056,16.50,3.67,0.132,30.33,0.198,0.462,0.00,36.4%,
