打率.187,試合56,打席99,打数91,得点6,安打17,内安0,内安率0.0,２Ｂ3,３Ｂ0,本塁3,HR勝敗2-1-0,塁打29,打点10,三振27
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
6,1,1,0,1,0,0,-,4,0,4,.200,.242,.319,.561
