打率.260,試合68,打席250,打数223,得点17,安打58,内安4,内安率6.9,２Ｂ4,３Ｂ0,本塁4,HR勝敗2-2-0,塁打74,打点20,三振58
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
23,5,0,2,2,3,1,75.0,1,2,8,.309,.327,.332,.658
