NOI254.7,GPA.139,RC0.66,RC270.39,XR1.04,XR270.62,RCAA-4.46,XR+-4.14,RCWIN-0.52,XRWIN-0.48,BABIP.128
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.051,17.33,5.78,0.122,49.00,0.184,0.333,0.00,25.0%,
