アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,23,31.9%,安打,15,57.7%
フライ,24,33.3%,四死球,11,42.3%
空三振,19,26.4%,失策出塁,0,0.0%
見三振,5,6.9%,野選,0,0.0%
犠打,1,1.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
