HQS率-,SQS率-,被打率.174,被BABIP.230,被出塁率.268,被長打率.221,K/BB3.00,K/98.88,BB/92.96,HR/90.37,GO/AO0.96,援護率-,IPR8.11,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.53,93.5%,6.04,0.70,5.22,243,1.0,0,0,24.1,3,12,25,
