NOI0.0,GPA.000,RC-0.11,RC27-2.92,XR-0.10,XR27-2.65,RCAA-0.20,XR+-0.19,RCWIN-0.02,XRWIN-0.02,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.00,0.000,-,0.000,0.000,-,100.0%,
