HQS率-,SQS率-,被打率.276,被BABIP.304,被出塁率.389,被長打率.379,K/BB1.00,K/96.23,BB/96.23,HR/91.04,GO/AO0.60,援護率-,IPR4.33,NHB%16.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.93,95.2%,1.22,0.14,0.93,36,4.0,0,0,8.2,2,1,4,
