条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.353,21,17,6,0,0,1,3,2,0,1,1
対左打者,0.167,17,12,2,0,0,0,3,4,0,1,0
