条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,2,1,2,4,1,4,0,0,0,0,0,14
敗戦,5,4,7,1,4,2,3,0,0,0,0,0,26
勝敗無,0,0,0,0,0,0,0,0,0,0,0,0,0
