アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,123,35.2%,安打,95,74.2%
フライ,148,42.4%,四死球,30,23.4%
空三振,49,14.0%,失策出塁,3,2.3%
見三振,23,6.6%,野選,0,0.0%
犠打,6,1.7%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
