種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,1.71,3,3,0,2,0,0,0,0,0,0,0,21.0,17,0,10,4,1,4,4,1.0,0.218,5.85,-
Nighter,2.18,17,17,0,9,4,0,0,0,0,0,0,99.0,78,6,62,22,3,30,24,1.01,0.218,3.18,-
