防御率2.10,試合20,先発20,救援0,連投(試)0,連投(日)0,勝利11,敗戦4,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.733,120.0,477,1761,14.7,95,6,72,26,0,4,0,0,34,28,1.01,65.0%
