HQS率25.0%,SQS率25.0%,被打率.218,被BABIP.245,被出塁率.265,被長打率.296,K/BB2.77,K/95.40,BB/91.95,HR/90.45,GO/AO0.83,援護率3.61,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.97,78.0%,9.56,1.13,11.63,470,0.0,122,49,0.0,0,0,0,
