左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
26.7% (4),26.7% (4),26.7% (4),26.7% (4),26.7% (4),26.7% (4),46.7% (7),46.7% (7),46.7% (7)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
33.3% (1),- (0),25.0% (3),33.3% (1),- (0),25.0% (3),33.3% (1),- (0),50.0% (6)
