NOI428.4,GPA.229,RC6.53,RC273.75,XR7.29,XR274.19,RCAA0.13,XR+0.82,RCWIN0.02,XRWIN0.09,BABIP.283
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.42,0.049,13.00,5.42,0.103,29.00,0.207,0.600,1.33,29.2%,
