HQS率0.0%,SQS率0.0%,被打率.259,被BABIP.282,被出塁率.322,被長打率.481,K/BB2.40,K/97.71,BB/93.21,HR/91.93,GO/AO0.33,援護率1.80,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.88,60.8%,-4.80,-0.55,-5.27,42,0.0,15,3,0.0,0,0,0,
