NOI288.9,GPA.157,RC0.30,RC270.59,XR0.33,XR270.63,RCAA-1.27,XR+-1.27,RCWIN-0.15,XRWIN-0.15,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.00,0.067,-,0.000,0.231,-,25.0%,
