HQS率18.2%,SQS率18.2%,被打率.286,被BABIP.312,被出塁率.358,被長打率.397,K/BB1.35,K/94.76,BB/93.53,HR/90.74,GO/AO0.71,援護率3.64,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.09,78.8%,-5.24,-0.61,-1.96,389,0.0,121,49,0.0,0,0,0,
