左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
60.0% (3),60.0% (3),60.0% (3),0.0% (0),0.0% (0),0.0% (0),40.0% (2),40.0% (2),40.0% (2)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
- (0),- (0),60.0% (3),- (0),- (0),0.0% (0),- (0),- (0),40.0% (2)
