条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.283,138,120,34,3,0,0,11,12,0,1,5
対左投手,0.259,28,27,7,1,0,0,6,0,0,0,1
