NOI0.0,GPA.000,RC-1.58,RC27-2.37,XR-1.42,XR27-2.14,RCAA-3.29,XR+-3.14,RCWIN-0.39,XRWIN-0.37,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.25,0.000,-,0.000,0.000,-,44.4%,
