NOI461.0,GPA.245,RC54.56,RC274.27,XR54.68,XR274.28,RCAA5.73,XR+5.28,RCWIN0.66,XRWIN0.61,BABIP.344
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.32,0.053,15.03,4.86,0.089,44.80,0.158,0.606,0.00,29.2%,
