連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 5打席
本塁打,1打席 / 1打席
無安打,0打席 / 21打席
三振,0打席 / 4打席
無三振,8打席 / 28打席
出塁,1打席 / 7打席
