HQS率22.2%,SQS率22.2%,被打率.232,被BABIP.281,被出塁率.281,被長打率.293,K/BB3.27,K/96.66,BB/92.03,HR/90.18,GO/AO0.85,援護率3.53,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.33,78.4%,5.09,0.59,4.44,196,0.0,51,20,0.0,0,0,0,
