球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,403,50.9%,147.4,24,75,121,115,54.6%,11.3%,0.321,81,26,0,14,5,1
スライダー,170,21.5%,136.9,25,21,34,50,47.1%,25.3%,0.146,48,7,1,8,2,0
チェンジアップ,116,14.6%,127.1,24,14,14,40,44.8%,38.7%,0.152,33,5,0,10,3,0
ナックルカーブ,103,13.0%,118.5,6,21,14,47,39.8%,17.1%,0.211,19,4,0,4,1,1
