条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.205,82,73,15,4,1,0,19,5,1,2,1
対左打者,0.302,59,53,16,1,1,2,7,4,1,0,1
