防御率2.57,試合24,先発2,救援22,連投(試)1,連投(日)1,勝利2,敗戦1,HLD1,Ｓ0,ＨＰ3,ＳＰ2,救勝2,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,35.0,141,534,15.3,31,2,26,9,1,2,1,0,13,10,1.14,0.0%
