左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
37.2% (175),37.2% (175),37.2% (175),22.7% (107),22.7% (107),22.7% (107),40.1% (189),40.1% (189),40.1% (189)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
29.1% (46),0.0% (0),41.6% (129),31.6% (50),0.0% (0),18.4% (57),39.2% (62),100.0% (3),40.0% (124)
