NOI494.2,GPA.261,RC74.51,RC275.28,XR70.87,XR275.02,RCAA20.05,XR+16.13,RCWIN2.36,XRWIN1.90,BABIP.334
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.89,0.056,13.64,12.19,0.079,173.67,0.169,0.676,4.80,16.1%,
