チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.35,25,111,103,11,36,3,1,2,47,16,6,7,0,1,0,0,2,1,1,0.396,0.456,0.853
阪神,0.269,25,103,93,6,25,1,0,0,26,2,12,10,1,0,0,0,1,0,0,0.34,0.28,0.619
ＤｅＮＡ,0.269,24,98,93,10,25,5,1,1,35,7,9,5,1,0,0,0,3,2,1,0.306,0.376,0.682
ヤクルト,0.333,23,93,78,8,26,5,0,0,31,9,9,11,2,3,1,0,3,3,2,0.435,0.397,0.832
中日,0.275,23,88,80,5,22,5,1,0,29,9,4,5,1,0,2,1,0,0,3,0.314,0.363,0.676
