球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,863,44.0%,146.1,54,133,241,247,49.6%,11.2%,.320,206,66,3,21,17,2
スライダー,259,13.2%,127.8,23,35,49,80,41.3%,16.0%,.295,78,23,0,7,5,1
フォーク,209,10.6%,135.9,36,12,40,75,42.1%,29.5%,.352,54,19,0,8,2,1
カットボール,175,8.9%,135.5,17,23,41,52,46.3%,17.0%,.326,43,14,0,2,4,0
チェンジアップ,122,6.2%,128.9,25,4,20,38,40.2%,31.3%,.300,40,12,0,5,2,0
ツーシーム,113,5.8%,142.9,8,17,24,35,43.4%,13.1%,.200,30,6,0,1,3,0
カーブ,77,3.9%,114.4,4,17,6,26,35.1%,11.8%,.360,25,9,0,1,0,0
スプリット,51,2.6%,139.9,7,1,11,19,37.3%,22.6%,.400,15,6,0,2,0,0
シュート,34,1.7%,145.6,1,3,11,10,44.1%,4.8%,.000,9,0,0,0,1,0
シンカー,26,1.3%,133.4,2,0,3,11,19.2%,13.3%,.200,10,2,0,0,1,1
縦スライダー,14,0.7%,127.6,0,5,2,4,50.0%,0.0%,.667,3,2,0,0,1,0
ナックルカーブ,14,0.7%,124.8,1,1,1,4,21.4%,11.1%,.286,7,2,0,0,0,0
スクリュー,4,0.2%,135.5,1,1,0,1,50.0%,50.0%,.000,1,0,0,0,0,0
パワーカーブ,2,0.1%,120.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
