HQS率0.0%,SQS率0.0%,被打率.290,被BABIP.318,被出塁率.394,被長打率.458,K/BB0.95,K/95.73,BB/96.00,HR/91.09,GO/AO1.73,援護率3.09,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.07,74.0%,-8.02,-0.94,-6.10,119,0.0,35,12,0.0,0,0,0,
