防御率2.24,試合55,先発0,救援55,連投(試)0,連投(日)0,勝利1,敗戦1,HLD23,Ｓ10,ＨＰ24,ＳＰ11,救勝1,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,52.1,210,782,14.9,35,3,54,18,2,1,0,0,14,13,1.01,-
