条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.236,136,127,30,4,1,2,28,5,1,3,0
対左打者,0.278,72,54,15,0,0,1,10,15,1,2,0
