打率.240,試合53,打席172,打数150,得点12,安打36,内安4,内安率11.1,２Ｂ2,３Ｂ0,本塁5,HR勝敗5-0-0,塁打53,打点16,三振48
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
19,1,2,1,0,0,3,0.0,1,0,2,.219,.333,.353,.687
