NOI451.1,GPA.238,RC17.41,RC273.92,XR17.89,XR274.02,RCAA1.06,XR+1.45,RCWIN0.13,XRWIN0.17,BABIP.320
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.093,9.05,3.58,0.113,30.00,0.220,0.597,0.00,41.9%,
