連続項目,フラグ (現状値 / 最高値)
安打,0打席 / 2打席
本塁打,0打席 / 1打席
無安打,6打席 / 14打席
三振,0打席 / 2打席
無三振,1打席 / 14打席
出塁,0打席 / 2打席
