NOI133.3,GPA.070,RC-0.41,RC27-1.24,XR-0.33,XR27-1.00,RCAA-1.40,XR+-1.33,RCWIN-0.16,XRWIN-0.15,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.33,0.000,-,0.000,0.111,-,30.0%,
