HQS率0.0%,SQS率0.0%,被打率.168,被BABIP.206,被出塁率.268,被長打率.304,K/BB2.23,K/99.52,BB/94.27,HR/90.97,GO/AO0.52,援護率4.50,IPR3.24,NHB%40.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.42,78.6%,0.82,0.10,-0.70,209,6.0,2,1,45.1,14,18,36,
