打率.270,試合95,打席365,打数315,得点33,安打85,内安10,内安率11.8,２Ｂ13,３Ｂ1,本塁1,HR勝敗1-0-0,塁打103,打点21,三振35
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
24,1,2,22,2,12,2,85.7,6,0,2,.373,.324,.327,.651
