NOI432.6,GPA.227,RC37.80,RC273.96,XR37.01,XR273.87,RCAA3.11,XR+2.14,RCWIN0.37,XRWIN0.25,BABIP.299
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.69,0.054,15.21,10.43,0.057,315.00,0.165,0.594,1.85,16.4%,
