チーム,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
巨人,0.265,17,58,49,3,13,2,0,0,15,2,8,4,1,0,5,0,1,0,1,0.321,0.306,0.627
阪神,0.231,20,74,65,6,15,2,0,0,17,4,5,3,0,0,5,1,1,0,1,0.261,0.262,0.522
ＤｅＮＡ,0.278,15,60,54,7,15,5,0,1,23,6,4,3,0,0,3,0,4,0,0,0.316,0.426,0.742
広島,0.333,14,52,45,7,15,1,0,0,16,3,6,3,0,1,3,0,4,0,2,0.388,0.356,0.743
ヤクルト,0.404,16,65,57,7,23,1,1,0,26,4,5,5,0,0,3,0,0,2,1,0.452,0.456,0.908
