打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.238,32,124,101,8,24,4,0,0,28,8,7,9,0,1,11,2,6,0,0,0.301,0.277,0.578
Nighter,0.285,63,241,214,25,61,9,1,1,75,13,28,15,1,1,11,0,6,2,6,0.335,0.35,0.685
