NOI250.0,GPA.113,RC0.01,RC270.09,XR0.07,XR270.63,RCAA-0.38,XR+-0.33,RCWIN-0.04,XRWIN-0.04,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.250,4.00,-,0.000,-,0.333,0.333,-,25.0%,
