NOI533.3,GPA.280,RC0.77,RC276.93,XR0.71,XR276.43,RCAA0.29,XR+0.24,RCWIN0.03,XRWIN0.03,BABIP.667
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,0.000,0.667,-,40.0%,
