NOI98.0,GPA.056,RC-0.85,RC27-1.44,XR-0.75,XR27-1.27,RCAA-2.53,XR+-2.45,RCWIN-0.29,XRWIN-0.28,BABIP.077
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,4.25,0.059,-,0.059,0.125,-,23.5%,
