左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
23.1% (3),23.1% (3),23.1% (3),23.1% (3),23.1% (3),23.1% (3),53.8% (7),53.8% (7),53.8% (7)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
0.0% (0),- (0),25.0% (3),0.0% (0),- (0),25.0% (3),100.0% (1),- (0),50.0% (6)
