NOI105.3,GPA.053,RC-1.86,RC27-1.39,XR-1.54,XR27-1.16,RCAA-5.57,XR+-5.27,RCWIN-0.66,XRWIN-0.62,BABIP.143
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.05,0.027,39.00,1.95,-0.000,-,0.029,0.094,-,53.8%,
