条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.204,322,294,60,8,1,4,58,20,1,6,1
対左打者,0.223,314,282,63,18,0,2,64,24,0,7,1
