チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
ソフトバンク,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
日本ハム,0.00,1,1,0,1,0,0,0,0,0,0,0,8.0,4,0,5,2,0,0,0,0.75,0.143,1.00,-
ロッテ,4.05,1,1,0,0,1,0,0,0,0,0,0,6.2,6,0,5,2,0,3,3,1.2,0.24,1.50,-
楽天,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
オリックス,-,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,-,-
西武,0.00,1,1,0,0,0,0,0,0,0,0,0,6.0,4,0,5,2,0,0,0,1.0,0.19,2.57,-
