HQS率37.5%,SQS率37.5%,被打率.214,被BABIP.260,被出塁率.270,被長打率.293,K/BB2.77,K/96.99,BB/92.52,HR/90.34,GO/AO0.69,援護率3.22,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.52,87.1%,27.99,3.30,24.85,591,0.0,162,58,0.0,0,0,0,
