アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,133,28.9%,安打,123,69.9%
フライ,192,41.7%,四死球,45,25.6%
空三振,96,20.9%,失策出塁,7,4.0%
見三振,26,5.7%,野選,1,0.6%
犠打,13,2.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
