HQS率-,SQS率-,被打率.245,被BABIP.303,被出塁率.297,被長打率.350,K/BB3.30,K/98.03,BB/92.43,HR/90.49,GO/AO1.18,援護率-,IPR2.64,NHB%22.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.42,74.1%,-0.57,-0.07,-0.78,191,10.2,0,0,37.0,14,8,26,
