アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,40,36.7%,安打,35,72.9%
フライ,34,31.2%,四死球,11,22.9%
空三振,28,25.7%,失策出塁,2,4.2%
見三振,5,4.6%,野選,0,0.0%
犠打,2,1.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
