防御率3.16,試合35,先発0,救援35,連投(試)1,連投(日)1,勝利4,敗戦1,HLD4,Ｓ0,ＨＰ8,ＳＰ4,救勝4,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,37.0,157,562,15.2,35,2,33,10,2,1,2,0,14,13,1.22,-
